method,model,fbmode,n_story,n_qa,acc,embedding,mem0_llm,answer,judge,reflect,total_tokens,tokens_per_qa
adamem,deepseek,verbose,5,500,85.2,471608,4690995,253578,247684,375712,6039577,12079.2
adamem,deepseek,with_gold,5,500,82.0,467806,4716466,251482,248816,398119,6082689,12165.4
adamem,gemini,verbose,5,500,84.8,526900,5752353,295588,250082,479690,7304613,14609.2
adamem,gemini,with_gold,5,500,85.4,528277,5753328,298296,248308,493000,7321209,14642.4
fc,deepseek,verbose,5,500,96.4,0,0,9625059,245743,0,9870802,19741.6
fc,deepseek,with_gold,5,500,97.2,0,0,9564225,242401,0,9806626,19613.3
id,deepseek,verbose,5,500,96.0,259389,727898,244890,246340,0,1478517,2957.0
id,deepseek,with_gold,5,500,96.4,256188,678288,241722,250468,0,1426666,2853.3
m0,deepseek,verbose,5,500,76.2,421443,4223793,221091,251082,0,5117409,10234.8
m0,deepseek,with_gold,5,500,80.2,421724,4182484,225395,251027,0,5080630,10161.3
m0,gemini,verbose,5,500,80.4,474890,5167803,271597,248595,0,6162885,12325.8
m0,gemini,with_gold,5,500,83.2,478701,5170118,269941,251599,0,6170359,12340.7
