model,fbmode,week,follow_rate,n_memories
deepseek,verbose,1,93.1,202
deepseek,verbose,2,80.0,150
deepseek,verbose,3,79.0,195
deepseek,verbose,4,75.5,184
deepseek,verbose,5,88.2,187
deepseek,verbose,6,82.4,187
deepseek,verbose,7,74.3,171
deepseek,verbose,8,86.5,171
deepseek,verbose,9,74.2,159
deepseek,verbose,10,75.1,177
deepseek,with_gold,1,87.0,193
deepseek,with_gold,2,83.3,150
deepseek,with_gold,3,80.3,188
deepseek,with_gold,4,77.0,174
deepseek,with_gold,5,83.9,193
deepseek,with_gold,6,86.4,191
deepseek,with_gold,7,79.2,178
deepseek,with_gold,8,87.7,179
deepseek,with_gold,9,70.6,187
deepseek,with_gold,10,72.2,180
gemini,verbose,1,96.8,157
gemini,verbose,2,83.2,137
gemini,verbose,3,83.7,178
gemini,verbose,4,85.1,168
gemini,verbose,5,88.2,170
gemini,verbose,6,91.4,175
gemini,verbose,7,84.8,158
gemini,verbose,8,84.1,170
gemini,verbose,9,83.0,153
gemini,verbose,10,80.1,156
gemini,with_gold,1,95.5,156
gemini,with_gold,2,84.6,143
gemini,with_gold,3,78.0,173
gemini,with_gold,4,87.1,170
gemini,with_gold,5,88.6,175
gemini,with_gold,6,89.3,178
gemini,with_gold,7,80.3,157
gemini,with_gold,8,84.7,170
gemini,with_gold,9,81.3,150
gemini,with_gold,10,77.8,162
