model,fbmode,week,alignment_pct
deepseek,verbose,0,0.0
deepseek,verbose,1,58.3
deepseek,verbose,2,63.3
deepseek,verbose,3,75.0
deepseek,verbose,4,85.0
deepseek,verbose,5,90.0
deepseek,verbose,6,85.0
deepseek,verbose,7,86.7
deepseek,verbose,8,88.3
deepseek,verbose,9,85.0
deepseek,verbose,10,88.3
deepseek,with_gold,0,0.0
deepseek,with_gold,1,63.3
deepseek,with_gold,2,58.3
deepseek,with_gold,3,60.0
deepseek,with_gold,4,60.0
deepseek,with_gold,5,58.3
deepseek,with_gold,6,63.3
deepseek,with_gold,7,66.7
deepseek,with_gold,8,58.3
deepseek,with_gold,9,70.0
deepseek,with_gold,10,63.3
gemini,verbose,0,0.0
gemini,verbose,1,53.3
gemini,verbose,2,58.3
gemini,verbose,3,66.7
gemini,verbose,4,75.0
gemini,verbose,5,80.0
gemini,verbose,6,70.0
gemini,verbose,7,75.0
gemini,verbose,8,83.3
gemini,verbose,9,80.0
gemini,verbose,10,81.7
gemini,with_gold,0,0.0
gemini,with_gold,1,51.7
gemini,with_gold,2,58.3
gemini,with_gold,3,61.7
gemini,with_gold,4,61.7
gemini,with_gold,5,60.0
gemini,with_gold,6,56.7
gemini,with_gold,7,61.7
gemini,with_gold,8,55.0
gemini,with_gold,9,58.3
gemini,with_gold,10,53.3
