method,model,fbmode,info_category,acc,n
adamem,deepseek,verbose,Agreement/Promise,72.3,119
adamem,deepseek,verbose,Decision/Conclusion,93.0,100
adamem,deepseek,verbose,Emotion/Attitude,79.6,113
adamem,deepseek,verbose,Fact/Number,94.3,87
adamem,deepseek,verbose,Schedule/Time,92.6,81
adamem,deepseek,with_gold,Agreement/Promise,66.4,119
adamem,deepseek,with_gold,Decision/Conclusion,90.0,100
adamem,deepseek,with_gold,Emotion/Attitude,81.4,113
adamem,deepseek,with_gold,Fact/Number,94.3,87
adamem,deepseek,with_gold,Schedule/Time,82.7,81
adamem,gemini,verbose,Agreement/Promise,74.8,119
adamem,gemini,verbose,Decision/Conclusion,91.0,100
adamem,gemini,verbose,Emotion/Attitude,78.8,113
adamem,gemini,verbose,Fact/Number,94.3,87
adamem,gemini,verbose,Schedule/Time,90.1,81
adamem,gemini,with_gold,Agreement/Promise,73.1,119
adamem,gemini,with_gold,Decision/Conclusion,98.0,100
adamem,gemini,with_gold,Emotion/Attitude,78.8,113
adamem,gemini,with_gold,Fact/Number,93.1,87
adamem,gemini,with_gold,Schedule/Time,88.9,81
fc,deepseek,verbose,Agreement/Promise,94.1,119
fc,deepseek,verbose,Decision/Conclusion,100.0,100
fc,deepseek,verbose,Emotion/Attitude,96.5,113
fc,deepseek,verbose,Fact/Number,97.7,87
fc,deepseek,verbose,Schedule/Time,93.8,81
fc,deepseek,with_gold,Agreement/Promise,96.6,119
fc,deepseek,with_gold,Decision/Conclusion,100.0,100
fc,deepseek,with_gold,Emotion/Attitude,94.7,113
fc,deepseek,with_gold,Fact/Number,97.7,87
fc,deepseek,with_gold,Schedule/Time,97.5,81
id,deepseek,verbose,Agreement/Promise,95.0,119
id,deepseek,verbose,Decision/Conclusion,99.0,100
id,deepseek,verbose,Emotion/Attitude,92.9,113
id,deepseek,verbose,Fact/Number,100.0,87
id,deepseek,verbose,Schedule/Time,93.8,81
id,deepseek,with_gold,Agreement/Promise,93.3,119
id,deepseek,with_gold,Decision/Conclusion,100.0,100
id,deepseek,with_gold,Emotion/Attitude,94.7,113
id,deepseek,with_gold,Fact/Number,98.9,87
id,deepseek,with_gold,Schedule/Time,96.3,81
m0,deepseek,verbose,Agreement/Promise,64.7,119
m0,deepseek,verbose,Decision/Conclusion,84.0,100
m0,deepseek,verbose,Emotion/Attitude,63.7,113
m0,deepseek,verbose,Fact/Number,93.1,87
m0,deepseek,verbose,Schedule/Time,82.7,81
m0,deepseek,with_gold,Agreement/Promise,68.1,119
m0,deepseek,with_gold,Decision/Conclusion,88.0,100
m0,deepseek,with_gold,Emotion/Attitude,71.7,113
m0,deepseek,with_gold,Fact/Number,93.1,87
m0,deepseek,with_gold,Schedule/Time,86.4,81
m0,gemini,verbose,Agreement/Promise,68.9,119
m0,gemini,verbose,Decision/Conclusion,88.0,100
m0,gemini,verbose,Emotion/Attitude,71.7,113
m0,gemini,verbose,Fact/Number,94.3,87
m0,gemini,verbose,Schedule/Time,85.2,81
m0,gemini,with_gold,Agreement/Promise,67.2,119
m0,gemini,with_gold,Decision/Conclusion,96.0,100
m0,gemini,with_gold,Emotion/Attitude,76.1,113
m0,gemini,with_gold,Fact/Number,95.4,87
m0,gemini,with_gold,Schedule/Time,87.7,81
