model,fbmode,info_category,m0_acc,adamem_acc,delta,n
deepseek,verbose,Agreement/Promise,64.7,72.3,7.6,119
deepseek,verbose,Decision/Conclusion,84.0,93.0,9.0,100
deepseek,verbose,Emotion/Attitude,63.7,79.6,15.9,113
deepseek,verbose,Fact/Number,93.1,94.3,1.1,87
deepseek,verbose,Schedule/Time,82.7,92.6,9.9,81
deepseek,with_gold,Agreement/Promise,68.1,66.4,-1.7,119
deepseek,with_gold,Decision/Conclusion,88.0,90.0,2.0,100
deepseek,with_gold,Emotion/Attitude,71.7,81.4,9.7,113
deepseek,with_gold,Fact/Number,93.1,94.3,1.1,87
deepseek,with_gold,Schedule/Time,86.4,82.7,-3.7,81
gemini,verbose,Agreement/Promise,68.9,74.8,5.9,119
gemini,verbose,Decision/Conclusion,88.0,91.0,3.0,100
gemini,verbose,Emotion/Attitude,71.7,78.8,7.1,113
gemini,verbose,Fact/Number,94.3,94.3,0.0,87
gemini,verbose,Schedule/Time,85.2,90.1,4.9,81
gemini,with_gold,Agreement/Promise,67.2,73.1,5.9,119
gemini,with_gold,Decision/Conclusion,96.0,98.0,2.0,100
gemini,with_gold,Emotion/Attitude,76.1,78.8,2.7,113
gemini,with_gold,Fact/Number,95.4,93.1,-2.3,87
gemini,with_gold,Schedule/Time,87.7,88.9,1.2,81
