week,id_recall@5,id_mrr,id_mean_hit_rank,id_n,m0_recall@5,m0_mrr,m0_mean_hit_rank,m0_n,adamem_recall@5,adamem_mrr,adamem_mean_hit_rank,adamem_n
1,100.0,92.7,1.16,50,54.0,50.3,2.33,50,72.0,56.9,2.44,50
2,100.0,97.0,1.06,50,60.0,52.7,2.06,50,68.0,57.5,2.13,50
3,100.0,80.6,1.68,50,54.0,41.2,2.32,50,66.0,49.7,2.92,50
4,96.0,74.8,1.92,50,58.0,41.7,2.39,50,62.0,49.0,2.46,50
5,96.0,85.5,1.56,50,40.0,31.3,2.92,50,52.0,43.7,2.14,50
6,94.0,86.8,1.41,50,66.0,43.7,2.4,50,72.0,56.0,2.7,50
7,96.0,76.1,1.92,50,46.0,32.2,2.93,50,60.0,44.7,2.92,50
8,96.0,72.1,2.04,50,50.0,31.1,2.61,50,58.0,41.2,2.97,50
9,94.0,79.6,1.88,50,64.0,47.1,2.12,50,68.0,55.3,2.41,50
10,98.0,73.4,1.88,50,50.0,41.9,2.67,50,68.0,60.7,2.55,50
