week,id_acc,id_n,m0_acc,m0_n,adamem_acc,adamem_n,m0_mem_week,m0_mem_cum,adamem_mem_week,adamem_mem_cum
1,96.0,50,88.0,50,94.0,50,205,205,203,203
2,96.0,50,90.0,50,96.0,50,168,373,151,354
3,96.0,50,76.0,50,84.0,50,203,576,195,549
4,92.0,50,76.0,50,72.0,50,203,779,184,733
5,98.0,50,70.0,50,78.0,50,209,988,188,921
6,94.0,50,76.0,50,94.0,50,207,1195,187,1108
7,98.0,50,80.0,50,86.0,50,198,1393,171,1279
8,96.0,50,64.0,50,76.0,50,189,1582,171,1450
9,98.0,50,76.0,50,86.0,50,195,1777,159,1609
10,96.0,50,66.0,50,86.0,50,192,1969,177,1786
