method,model,fbmode,accuracy,extraction_f1,mer,precision,recall,mem_vol,n_story
adamem,deepseek,verbose,85.2,40.1,0.289,26.2,85.4,371,5
adamem,deepseek,with_gold,82.0,40.3,0.247,26.3,85.9,380,5
adamem,gemini,verbose,84.8,47.2,0.303,32.0,90.0,352,5
adamem,gemini,with_gold,85.4,47.0,0.276,31.9,89.8,355,5
fc,deepseek,verbose,96.4,,,,,0,5
fc,deepseek,with_gold,97.2,,,,,0,5
id,deepseek,verbose,96.0,97.9,1.0,96.0,99.8,121,5
id,deepseek,with_gold,96.4,99.4,1.0,99.1,99.6,110,5
m0,deepseek,verbose,76.2,35.0,0.223,22.4,79.6,430,5
m0,deepseek,with_gold,80.2,33.9,0.225,21.9,74.9,407,5
m0,gemini,verbose,80.4,42.4,0.267,28.6,81.2,378,5
m0,gemini,with_gold,83.2,45.1,0.244,31.0,82.6,391,5
